Zona;Zona_Descr;Zona_sint
B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;DUOMO
B13;UNIVERSITA STATALE, SAN LORENZO;UNIVERSITA STATALE
B15;BRERA;BRERA
B16;SANT`AMBROGIO, CADORNA, VIA DANTE;SANT`AMBROGIO
B17;PARCO SEMPIONE, ARCO DELLA PACE, CORSO MAGENTA;PARCO SEMPIONE
B18;TURATI, MOSCOVA, CORSO VENEZIA;TURATI
B19;VENEZIA, PORTA VITTORIA, PORTA ROMANA;PORTA VITTORIA
B20;PORTA VIGENTINA, PORTA ROMANA;PORTA VIGENTINA
B21;PORTA TICINESE, PORTA GENOVA, VIA SAN VITTORE;PORTA TICINESE
C12;PISANI, BUENOS AIRES, REGINA GIOVANNA;CORSO BUENOS AIRES
C13;CITY LIFE;CITY LIFE
C14;PORTA NUOVA;PORTA NUOVA
C15;STAZIONE CENTRALE, VIALE STELVIO;CENTRALE FS
C16;CENISIO, FARINI, SARPI;CENISIO
C17;SEMPIONE, PAGANO, WASHINGTON;SEMPIONE
C18;SOLARI, P.TA GENOVA, ASCANIO SFORZA;SOLARI
C19;TABACCHI, SARFATTI, CREMA;TABACCHI
C20;LIBIA, ,XXII MARZO, INDIPENDENZA;CORSO CONCORDIA
D10;PARCO LAMBRO, FELTRE, UDINE;PARCO LAMBRO
D12;PIOLA, ARGONNE, CORSICA;PIOLA
D13;LAMBRATE, RUBATTINO, ROMBON;LAMBRATE
D15;FORLANINI, MECENATE, ORTOMERCATO, SANTA GIULIA;FORLANINI
D16;TITO LIVIO, TERTULLIANO, LONGANESI;LONGANESI
D18;MAROCCHETTI, VIGENTINO, CHIESA ROSSA;VIGENTINO
D20;ORTLES, SPADOLINI, BAZZI;ORTLES
D21;BARONA, FAMAGOSTA, FAENZA;BARONA
D24;SEGESTA, ARETUSA, VESPRI SICILIANI;SEGESTA
D25;LORENTEGGIO, INGANNI, BISCEGLIE, SAN CARLO B.;LORENTEGGIO
D28;IPPODROMO, CAPRILLI, MONTE STELLA;CAPRILLI
D30;MUSOCCO, CERTOSA, EXPO, C.NA MERLATA;MUSOCCO
D31;BOVISA, BAUSAN, IMBONATI;BOVISA
D32;BOVISASCA, AFFORI, P. ROSSI , COMASINA;BOVISASCA
D33;NIGUARDA, BIGNAMI, PARCO NORD;NIGUARDA
D34;SARCA, BICOCCA;SARCA
D35;MONZA, CRESCENZAGO, GORLA, QUARTIERE ADRIANO;CRESCENZAGO
D36;MAGGIOLINA, PARCO TROTTER, LEONCAVALLO;MAGGIOLINA
E5;BAGGIO, Q. ROMANO, MUGGIANO;BAGGIO
E6;GALLARATESE, LAMPUGNANO, P. TRENNO, BONOLA;GALLARATESE
E7;MISSAGLIA, GRATOSOGLIO;GRATOSOGLIO
E8;QUARTO OGGIARO, SACCO;QUARTO OGGIARO
